# Label each row: real (worth fixing here), noise (not actionable in this repo), dup (same issue as another row — name its fingerprint in notes)
fingerprint	source	package	advisory	severity	title	label	notes
031d45d6ad18808d	osv-scanner	undici	CVE-2026-22036	moderate	Undici has an unbounded decompression chain in HTTP responses on Node.js Fetch API via Content-Encoding leads to resource exhaustion		
08d59ada6ff00a98	npm-audit	jsonwebtoken	GHSA-HJRF-2M68-5959	moderate	jsonwebtoken's insecure implementation of key retrieval function could lead to Forgeable Public/Private Tokens from RSA to HMAC		
0c71ca710f58c984	npm-audit	lodash	GHSA-F23M-R3PF-42RH	moderate	lodash vulnerable to Prototype Pollution via array path bypass in `_.unset` and `_.omit`		
0e2c453e0d5a9427	osv-scanner	tar	CVE-2026-23950	high	Race Condition in node-tar Path Reservations via Unicode Ligature Collisions on macOS APFS		
0f5b53d9d769b550	osv-scanner	socket.io	CVE-2024-38355	moderate	socket.io has an unhandled 'error' event		
127966064c4b177b	osv-scanner	undici	CVE-2026-1525	moderate	Undici has an HTTP Request/Response Smuggling issue		
12ccdf80089992ad	osv-scanner	jws	CVE-2016-1000223	high	Forgeable Public/Private Tokens in jws		
1556232da3129f08	npm-audit	tar	GHSA-23HP-3JRH-7FPW	critical	node-tar: Decompression/parse DoS via unlimited input		
16249f5000d8521d	npm-audit	decompress	GHSA-MP2F-45PM-3CG9	critical	Decompress: Archive extraction can create files and links outside of the target directory		
16b7760835606031	npm-audit	tar	GHSA-R292-9MHP-454M	moderate	node-tar: Uncontrolled recursion in mapHas/filesFilter allows uncatchable stack-overflow DoS via crafted long-path tar with member selection		
16b7760835606031	osv-scanner	tar	GHSA-R292-9MHP-454M	moderate	node-tar: Uncontrolled recursion in mapHas/filesFilter allows uncatchable stack-overflow DoS via crafted long-path tar with member selection		
1a991b8ec8717322	osv-scanner	lodash.set	CVE-2020-8203	high	Prototype Pollution in lodash		
1ac2ad1a6fbeb9fc	osv-scanner	moment	CVE-2022-24785	high	Path Traversal: 'dir/../../filename' in moment.locale		
1db0056004ccb6e6	osv-scanner	tar	CVE-2026-26960	high	Arbitrary File Read/Write via Hardlink Target Escape Through Symlink Chain in node-tar Extraction		
1f549ff57b734461	npm-audit	undici	GHSA-V9P9-HFJ2-HCW8	high	Undici has Unhandled Exception in WebSocket Client Due to Invalid server_max_window_bits Validation		
1ff1b8dddeb1a162	npm-audit	tar	GHSA-QFFP-2RHF-9H96	high	tar has Hardlink Path Traversal via Drive-Relative Linkpath		
207ae20f1fb56179	osv-scanner	tar	CVE-2026-59871	moderate	node-tar: Process crash via PAX numeric path type confusion		
24260ae0af148650	npm-audit	minimatch	GHSA-3PPC-4F35-3M26	high	minimatch has a ReDoS via repeated wildcards with non-matching literal in pattern		
253b3674a80963d0	npm-audit	jsonwebtoken	GHSA-QWPH-4952-7XR6	moderate	jsonwebtoken vulnerable to signature validation bypass due to insecure default algorithm in jwt.verify()		
25585a2ee27e1d4b	osv-scanner	tar	CVE-2026-29786	high	tar has Hardlink Path Traversal via Drive-Relative Linkpath		
2a711265b6b81bad	npm-audit	undici	GHSA-P88M-4JFJ-68FV	moderate	undici vulnerable to HTTP header injection via Set-Cookie percent-decoding		
2c8bfe2273740bf8	osv-scanner	tar	CVE-2026-53655	moderate	node-tar applies PAX size override to intermediary GNU long-name/long-link headers, causing tar parser interpretation differential (file smuggling)		
2d0bbfe475a0af4a	npm-audit	ws	GHSA-96HV-2XVQ-FX4P	high	ws: Memory exhaustion DoS from tiny fragments and data chunks		
2dfd585fb8ebe3f3	osv-scanner	multer	CVE-2025-7338	high	Multer vulnerable to Denial of Service via unhandled exception from malformed request		
2e0c495173e03c0c	osv-scanner	notevil	CVE-2021-23771	moderate	Sandbox escape in notevil and argencoders-notevil		
30c7e03d201562e0	osv-scanner	undici	CVE-2026-12151	high	undici WebSocket client vulnerable to denial of service via fragment count bypass		
31293d8a50ea0d59	npm-audit	http-cache-semantics	GHSA-RC47-6667-2J5J	high	http-cache-semantics vulnerable to Regular Expression Denial of Service		
33b655463b358f82	osv-scanner	tar	CVE-2026-31802	high	node-tar Symlink Path Traversal via Drive-Relative Linkpath		
34f3dd5f1f829009	npm-audit	undici	GHSA-G8M3-5G58-FQ7M	low	undici vulnerable to Set-Cookie SameSite attribute downgrade via permissive substring matching		
37b4dabaeb1ed066	npm-audit	sanitize-html	GHSA-3J7M-HMH3-9JMP	moderate	Cross-Site Scripting in sanitize-html		
